iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,1255,10.04684324998122,16.51025730035244,-0.031612050904088675,24.676861663999997,22.995497,-8.375346,95.905308
2,80000,1140,9.925032534966101,18.03434139887492,-0.030173786424133233,34.841374496,32.986066,0.856227,86.431538
3,120000,1085,9.787037624456943,21.374026958759014,-0.032625970305861514,46.74718762399999,45.367645,1.826923,123.994893
4,160000,1057,9.664561931903545,26.883448255979097,-0.02721476551527396,62.052082840000004,57.982982,9.207124,166.485573
5,200000,1043,9.542201501895219,27.421232054783747,-0.026802994589413105,77.224491792,70.456338,15.555883,227.401309
6,240000,1062,9.422527765616392,27.77084055191431,-0.02499149385168074,94.633059008,83.003444,29.235872,231.534034
7,280000,1052,9.303107577103836,27.786240934714293,-0.0276479086964033,102.164149928,94.34581,32.450715,223.523213
8,320000,1045,9.192922308506109,30.03763674222506,-0.024338370522430826,130.867169968,124.065877,23.369715,286.930109
9,360000,1048,9.094496362637251,33.60270931048271,-0.018081218041934567,146.715765928,141.767933,29.158173,341.596142
10,400000,1045,8.991139336121387,32.34345985559317,-0.023348373573464462,166.55817778399998,169.849432,35.811548,351.389118
11,440000,1050,8.891545195457264,34.426715229719115,-0.019789595351054838,184.246396008,192.054102,70.24769,334.885168
12,480000,1052,8.792057120494354,36.5431214259221,-0.01986990579842733,193.31174244,189.27439,45.168266,522.983713
13,520000,1057,8.693809086237199,38.918407151637936,-0.019657851599055365,211.543904048,210.018762,55.56222,589.891804
14,560000,1067,8.59731703782693,35.438744946015184,-0.015312157094148205,233.569828672,233.517404,76.206549,641.041187
15,600000,1076,8.507893244425455,37.522177500602524,-0.014590091576265434,251.42990505600002,243.886305,82.342371,641.071477
16,640000,1083,8.41714192414895,39.55362061476096,-0.01687304583528879,260.67720611199996,245.928277,73.122639,1186.483416
17,680000,1090,8.322489716456486,40.73304339188796,-0.014586029770147528,299.435806872,254.945357,96.273439,1338.433345
18,720000,1084,8.242200391720504,36.99975668344742,-0.014728132916318897,320.49617778399994,268.269339,76.531173,1659.79389
19,760000,1086,8.15158939972902,29.819688828786216,-0.00988324220398238,344.73480500000005,272.167336,89.723892,1746.661467
20,800000,1089,8.072496884908432,26.000370996426312,-0.011621794574938785,361.22905616,280.330322,100.945277,1677.313717
21,840000,1083,7.994537075971945,18.453215289727236,-0.011344274042736894,539.5984336079999,281.173297,116.310872,1774.17227
22,880000,1071,7.9149170227539845,17.432553812173698,-0.014035413500404012,592.15590788,315.467019,111.796419,1844.384754
23,920000,1064,7.823664518503042,15.139188823944483,-0.013326140309175408,681.2761073200002,334.689066,159.126249,1853.867448
24,960000,1060,7.750239038467408,18.429424283443353,-0.01197789700960036,791.455060136,361.306108,125.176958,1876.111486
25,1000000,1056,7.68053248723348,14.242730261117984,-0.011463667682568112,777.4611861680002,323.381369,125.176958,1901.654311
26,1040000,1053,7.602268974597638,13.91053628554711,-0.007804389445785394,956.38676052,538.938443,153.347639,1906.161589
27,1080000,1051,7.49928449973082,9.694123834830064,-0.0044011879750098905,1129.7041957760002,1778.607022,153.347639,1927.499933
28,1120000,1048,7.422601482195732,13.445627440550389,-0.01184213856070598,1244.35831888,1825.535752,160.904912,1941.087912
29,1160000,1046,7.327281643794133,10.957605166312975,-0.009372353200762098,1381.070984968,1855.079398,160.904912,1941.474057
30,1200000,1043,7.242176500956218,9.74284247862987,-0.010091552006622059,1451.300424008,1863.910217,160.904912,1941.474057
31,1240000,1041,7.162456047840608,9.020577103663713,-0.00985445338197818,1609.689199928,1885.745721,174.219444,1937.237645
32,1280000,1039,7.075261523173405,10.154301495429797,-0.012019233132818094,1721.8682724559997,1893.099338,176.101627,1948.527315
33,1320000,1037,7.000927371245164,9.99233244688083,-0.01392168862374978,1730.571021984,1893.099338,176.101627,1966.650303
34,1360000,1035,6.902377063800127,7.843267001861181,-0.010534930058799009,1734.710536616,1897.380316,146.606142,1968.687616
35,1400000,1034,6.832986446527334,10.775453657981677,-0.010833250804651657,1731.9424476959998,1892.729636,146.606142,1992.342185
36,1440000,1032,6.7595410640423115,12.048604952983368,-0.012742418947723658,1753.8860558640001,1897.655565,182.818235,1992.342185
37,1480000,1031,6.680342034804515,10.544421834212082,-0.012596688773378563,1752.081189472,1894.259909,182.818235,1992.342185
38,1520000,1030,6.606755321453779,11.20856695175171,-0.009784459918983674,1743.4040631120001,1904.301208,200.886838,2002.04463
39,1560000,1032,6.523599521930401,10.797887299611018,-0.011811062141742486,1785.4044069520003,1914.148132,200.886838,2087.882075
40,1600000,1033,6.442600365174123,8.842228080064823,-0.01126143872295357,1749.8049772160005,1923.062437,200.886838,2087.882075
41,1640000,1034,6.358378900625767,8.44257796483162,-0.008835787397961562,1777.8575992079998,1933.29603,183.094659,2087.882075
42,1680000,1035,6.291338507334391,7.71957757411859,-0.008984264518091013,1841.2022693679999,1942.23534,183.094659,2047.19909
