iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,782,10.061686875269963,16.49706210845556,-0.028362293905788996,-33.711518776000005,-30.197727,-99.163436,-5.102254
2,80000,758,9.913283389653914,14.065040859809288,-0.03483556962552636,-28.394691560000002,-26.410246,-100.176452,-0.403215
3,120000,879,9.742068469218719,12.777641978630653,-0.04268849802681824,-21.518178071999998,-22.206774,-89.291518,10.549897
4,160000,943,9.568208496387188,10.606993107917981,-0.03798968366889032,-14.579787087999998,-13.912181,-44.032799,7.35489
5,200000,985,9.391399870163355,8.37374898714897,-0.036537272216325314,-5.363830544000002,-4.59416,-28.586725,30.622579
6,240000,1015,9.22057634255825,7.652194513418736,-0.0298974027374919,-0.4018091439999999,-0.370924,-23.963122,42.569899
7,280000,1037,9.075433530562963,8.506860838180934,-0.029528027848769293,6.239950640000001,4.042449,-26.779356,51.795336
8,320000,1055,8.930084825173402,9.61183833525731,-0.02779827670819941,14.56107964,10.329947,-17.201229,72.149636
9,360000,1068,8.799824836926582,10.97812503790244,-0.02607158053088381,25.090044023999997,19.740455,-9.602837,66.359426
10,400000,1080,8.679369633014385,11.10081278360807,-0.02386849149882507,35.344067008,40.497597,-10.551539,73.451869
11,440000,1088,8.554894359295185,9.639890338213016,-0.020713184610843736,39.567695728000004,46.552918,-10.988507,101.385445
12,480000,1095,8.437244515541272,7.2932060767442755,-0.024203035220069488,53.06829919199999,55.868689,2.0939,84.368411
13,520000,1101,8.307377553597474,5.243836740958385,-0.01904658828182922,58.285914919999996,59.34884,-0.61103,103.487423
14,560000,1107,8.191376882944352,5.663426178540939,-0.018274599524589482,62.965736816,63.193578,1.799692,118.295279
15,600000,1095,8.091791335130349,6.272953946773822,-0.015369900104530806,69.60297468,68.17132,-1.445443,131.487248
16,640000,1082,8.003334620060064,7.368651250081185,-0.019275084597309335,78.755884312,74.69373,6.988476,140.842593
17,680000,1070,7.913709770104824,8.042448465640728,-0.01568308214370448,84.37314700000002,79.03261,49.807504,155.216527
18,720000,1060,7.82924518585205,9.796090627327944,-0.01975701845151026,103.64108497599999,100.615014,49.147563,226.390509
19,760000,1051,7.747886218780127,11.420892009979639,-0.017936788911696894,121.727705904,127.451115,52.007041,191.828623
20,800000,1044,7.658429982112004,10.415137874774445,-0.023012173818670607,130.88715344,132.748274,50.176446,240.448641
21,840000,1037,7.5703259040147834,9.275501460295457,-0.018068125726840197,138.385514896,141.494165,50.55457,247.073247
22,880000,1031,7.476083185733893,9.454271322641617,-0.02098612999954919,150.023812912,153.866157,12.88045,253.423578
23,920000,1026,7.373800270374005,9.505105631168073,-0.020899721447830626,170.69729865600002,160.476688,58.559394,286.877847
24,960000,1021,7.2930433615660055,11.21390735797393,-0.016931998619652288,185.84394832000004,172.328682,60.560498,294.50315
25,1000000,1016,7.2248716097611645,11.259443423075554,-0.01603865083292103,194.32240831200002,177.211266,65.72989,300.500358
26,1040000,1015,7.151744229976948,12.813675541755481,-0.015286559108682969,216.723601368,217.257872,60.985042,300.460551
27,1080000,1014,7.055829539665809,11.028697869716547,-0.01777083007337075,233.562638672,250.409635,127.139407,325.062062
28,1120000,1014,6.9729180005880504,9.710787060933235,-0.015987386224401233,256.80486364,271.933219,44.490157,331.116775
29,1160000,1013,6.8983359287946655,9.608954428403806,-0.013360933172635925,251.28080068,268.918582,143.197235,397.237961
30,1200000,1013,6.825770829274104,10.718707446562938,-0.01751409810656183,267.46840839999993,277.797779,98.066337,500.755005
31,1240000,1013,6.757528076416407,12.934012908201952,-0.016416042675047766,301.2044075439999,293.382153,139.659405,544.61988
32,1280000,1012,6.686659987767538,14.661395546106192,-0.020628378192300144,330.38837507200003,300.845921,13.693898,708.012341
33,1320000,1012,6.630836732570941,20.629459840823444,-0.016799781881460755,375.24593687199996,322.725981,167.690205,875.874266
34,1360000,1012,6.575722331267137,21.663527317536182,-0.01796703100961354,418.108252728,355.574621,157.54431,1083.600517
35,1400000,1011,6.520733852875538,23.060855081753854,-0.01615455743924777,451.699701296,383.90669,173.59168,1075.400454
36,1440000,1011,6.4587289480062635,22.941434948260966,-0.015476165787027313,555.842591688,480.881565,193.45049,1501.848476
37,1480000,1011,6.401723827459874,22.36631212601295,-0.017951512531008355,694.4949357360001,614.682752,198.139258,1548.119093
38,1520000,1011,6.3530278095832236,24.116636563570072,-0.01933676772448682,700.5706466159999,611.423759,198.139258,1594.418212
39,1560000,1010,6.298228415464743,24.177168342394708,-0.014217910934831497,787.2087043039999,637.305023,279.302645,1640.334855
40,1600000,1010,6.249610400811219,21.65553104694073,-0.01377238900832032,846.4643760159998,689.4924,73.434256,1640.334855
